2AA – 2ZZ,United Kingdom of Great Britain and Northern Ireland
3AA – 3AZ,Monaco (Principality of)
3BA – 3BZ,Mauritius (Republic of)
3CA – 3CZ,Equatorial Guinea (Republic of)
3DA – 3DM,Eswatini (Kingdom of)
3DN – 3DZ,Fiji (Republic of)
3EA – 3FZ,Panama (Republic of)
3GA – 3UZ,Chile
3VA – 3VZ,Tunisia
3WA – 3WZ,Viet Nam (Socialist Republic of)
3XA – 3XZ,Guinea (Republic of)
3YA – 3YZ,Norway
3ZA – 3ZZ,Poland (Republic of)
4AA – 4CZ,Mexico
4DA – 4IZ,Philippines (Republic of the)
4JA – 4KZ,Azerbaijan (Republic of)
4LA – 4LZ,Georgia
4MA – 4MZ,Venezuela (Bolivarian Republic of)
4OA – 4OZ,Montenegro
4PA – 4SZ,Sri Lanka (Democratic Socialist Republic of)
4TA – 4TZ,Peru
4UA – 4UZ,United Nations
4VA – 4VZ,Haiti (Republic of)
4WA – 4WZ,Timor-Leste (Democratic Republic of)
4XA – 4XZ,Israel (State of)
4YA – 4YZ,International Civil Aviation Organization
4ZA – 4ZZ,Israel (State of)
5AA – 5AZ,Libya (State of)
5BA – 5BZ,Cyprus (Republic of)
5CA – 5GZ,Morocco (Kingdom of)
5HA – 5IZ,Tanzania (United Republic of)
5JA – 5KZ,Colombia (Republic of)
5LA – 5MZ,Liberia (Republic of)
5NA – 5NZ,Nigeria (Federal Republic of)
5PA – 5QZ,Denmark
5RA – 5SZ,Madagascar (Republic of)
5TA – 5TZ,Mauritania (Islamic Republic of)
5UA – 5UZ,Niger (Republic of the)
5VA – 5VZ,Togolese Republic
5WA – 5WZ,Samoa (Independent State of)
5XA – 5XZ,Uganda (Republic of)
5YA – 5ZZ – 5ZZ,Kenya (Republic of)
6AA – 6BZ,Egypt (Arab Republic of)
6CA – 6CZ,Syrian Arab Republic
6DA – 6JZ,Mexico
6KA – 6NZ,Korea (Republic of)
6OA – 6OZ,Somalia (Federal Republic of)
6PA – 6SZ,Pakistan (Islamic Republic of)
6TA – 6UZ,Sudan (Republic of the)
6VA – 6WZ,Senegal (Republic of)
6XA – 6XZ,Madagascar (Republic of)
6YA – 6YZ,Jamaica
6ZA – 6ZZ,Liberia (Republic of)
7AA – 7IZ,Indonesia (Republic of)
7JA – 7NZ,Japan
7OA – 7OZ,Yemen (Republic of)
7PA – 7PZ,Lesotho (Kingdom of)
7QA – 7QZ,Malawi
7RA – 7RZ,Algeria (People's Democratic Republic of)
7SA – 7SZ,Sweden
7TA – 7YZ,Algeria (People's Democratic Republic of)
7ZA – 7ZZ,Saudi Arabia (Kingdom of)
8AA – 8IZ,Indonesia (Republic of)
8JA – 8NZ,Japan
8OA – 8OZ,Botswana (Republic of)
8PA – 8PZ,Barbados
8QA – 8QZ,Maldives (Republic of)
8RA – 8RZ,Guyana
8SA – 8SZ,Sweden
8TA – 8YZ,India (Republic of)
8ZA – 8ZZ,Saudi Arabia (Kingdom of)
9AA – 9AZ,Croatia (Republic of)
9BA – 9DZ,Iran (Islamic Republic of)
9EA – 9FZ,Ethiopia (Federal Democratic Republic of)
9GA – 9GZ,Ghana
9HA – 9HZ,Malta
9IA – 9JZ,Zambia (Republic of)
9KA – 9KZ,Kuwait (State of)
9LA – 9LZ,Sierra Leone
9MA – 9MZ,Malaysia
9NA – 9NZ,Nepal (Federal Democratic Republic of)
9OA – 9TZ,Democratic Republic of the Congo
9UA – 9UZ,Burundi (Republic of)
9VA – 9VZ,Singapore (Republic of)
9WA – 9WZ,Malaysia
9XA – 9XZ,Rwanda (Republic of)
9YA – 9ZZ,Trinidad and Tobago
A2A – A2Z,Botswana (Republic of)
A3A – A3Z,Tonga (Kingdom of)
A4A – A4Z,Oman (Sultanate of)
A5A – A5Z,Bhutan (Kingdom of)
A6A – A6Z,United Arab Emirates
A7A – A7Z,Qatar (State of)
A8A – A8Z,Liberia (Republic of)
A9A – A9Z,Bahrain (Kingdom of)
AAA – ALZ,United States of America
AMA – AOZ,Spain
APA – ASZ,Pakistan (Islamic Republic of)
ATA – AWZ,India (Republic of)
AXA – AXZ,Australia
AYA – AZZ,Argentine Republic
BAA – BZZ,China (People's Republic of)
C2A – C2Z,Nauru (Republic of)
C3A – C3Z,Andorra (Principality of)
C4A – C4Z,Cyprus (Republic of)
C5A – C5Z,Gambia (Republic of the)
C6A – C6Z,Bahamas (Commonwealth of the)
C7A – C7Z,World Meteorological Organization
C8A – C9Z,Mozambique (Republic of)
CAA – CEZ,Chile
CFA – CKZ,Canada
CLA – CMZ,Cuba
CNA – CNZ,Morocco (Kingdom of)
COA – COZ,Cuba
CPA – CPZ,Bolivia (Plurinational State of)
CQA – CUZ,Portugal
CVA – CXZ,Uruguay (Eastern Republic of)
CYA – CZZ,Canada
